PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00PvX,8/n7/P7/3k4/PK6/7P/5PP1/8 w - - 0 53,b4a5 d5c5 f2f3 a7c6,1660,75,86,241,endgame knightEndgame mate mateIn2 short,https://lichess.org/tH6dRFcZ#105,
00Pw1,5r1k/2p3Rp/3p4/p2Pn3/1p2B3/1P6/PKP2r1P/6R1 b - - 1 28,f2e2 g7h7,1104,75,98,860,endgame master mate mateIn1 oneMove,https://lichess.org/WAkWH6IK/black#56,
00Q4m,5r2/1b3k2/1q4p1/p3Pp1p/2pn1P1P/4Q1P1/P6K/R1R2B2 w - - 2 34,f1g2 d4f3 e3f3 b7f3,1194,75,100,174,advantage middlegame short,https://lichess.org/LOKLTnN2#67,
00Q4v,8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/7R w - - 1 47,h1e1 e7h4 g3h2 h4e1,1228,81,74,64,crushing endgame short skewer,https://lichess.org/gHKVgDSR#93,
00QCD,3r1rk1/1Q3ppp/1q2pb2/8/1P1N4/4P1P1/3B1PBP/R5K1 b - - 0 23,b6b7 g2b7 f6d4 e3d4,1041,79,94,241,advantage middlegame short,https://lichess.org/AFf6cmqa/black#46,
00QCe,1k5r/n2r2pp/5p2/ppN5/5P2/8/2R3PP/1R4K1 b - - 3 28,d7c7 c5a6 b8b7 a6c7,1398,75,93,1300,crushing endgame fork short,https://lichess.org/fovXj5D1/black#56,
00QHM,6k1/pp3rpp/4Nb2/4p3/1B1r4/6PK/PP5P/2R5 b - - 0 28,d4b4 c1c8 f6d8 c8d8 f7f8 d8f8,911,97,95,220,endgame long mate mateIn3,https://lichess.org/VyUHT6ng/black#56,
00QOa,6rk/1pp1R1p1/6Bp/2b4P/8/pP3PK1/P1P5/8 w - - 5 32,e7c7 c5d6 f3f4 d6c7,862,108,95,526,crushing endgame fork short,https://lichess.org/afclLtrR#63,
00QOp,4r3/pp2rkp1/2p5/P2p2pP/R4bP1/2NQ4/1PP2P2/3Kq2R w - - 3 25,h1e1 e7e1,435,91,100,116,mate mateIn1 middlegame oneMove,https://lichess.org/7puRAwZg#49,
00QQS,2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b - - 0 22,d7d4 c3d4 c2c1 a5e1,1828,167,43,18,advantage endgame hangingPiece short,https://lichess.org/tG606j71/black#44,
